content
(0) Proposto: 0.0014534883720930232|Atual: 0.0014534883720930232
(0) Aceitação: 1.0|U: 0.7764543817913041
(0) Aceito!
(1) Proposto: 0.0014792899408284023|Atual: 0.0014534883720930232
(1) Aceitação: 1.017751479289941|U: 0.001530076497811006
(1) Aceito!
(2) Proposto: 0.0015625|Atual: 0.0014792899408284023
(2) Aceitação: 1.0562500000000001|U: 0.17609231034265616
(2) Aceito!
(3) Proposto: 0.001597444089456869|Atual: 0.0015625
(3) Aceitação: 1.0223642172523961|U: 0.7543325086466253
(3) Aceito!
(4) Proposto: 0.0015923566878980893|Atual: 0.001597444089456869
(4) Aceitação: 0.9968152866242039|U: 0.8002855657515199
(4) Aceito!
(5) Proposto: 0.0016025641025641025|Atual: 0.0015923566878980893
(5) Aceitação: 1.0064102564102564|U: 0.31890907385996237
(5) Aceito!
(6) Proposto: 0.001597444089456869|Atual: 0.0016025641025641025
(6) Aceitação: 0.9968051118210862|U: 0.9370475780666151
(6) Aceito!
(7) Proposto: 0.001567398119122257|Atual: 0.001597444089456869
(7) Aceitação: 0.9811912225705329|U: 0.29730611164393395
(7) Aceito!
(8) Proposto: 0.0015479876160990713|Atual: 0.001567398119122257
(8) Aceitação: 0.9876160990712075|U: 0.5537745042334596
(8) Aceito!
(9) Proposto: 0.0015105740181268882|Atual: 0.0015479876160990713
(9) Aceitação: 0.9758308157099698|U: 0.10695597808688617
(9) Aceito!
(10) Proposto: 0.0014492753623188406|Atual: 0.0015105740181268882
(10) Aceitação: 0.9594202898550724|U: 0.260937975396198
(10) Aceito!
(11) Proposto: 0.0013698630136986301|Atual: 0.0014492753623188406
(11) Aceitação: 0.9452054794520548|U: 0.4045793290996068
(11) Aceito!
(12) Proposto: 0.001388888888888889|Atual: 0.0013698630136986301
(12) Aceitação: 1.0138888888888888|U: 0.8314105560697715
(12) Aceito!
(13) Proposto: 0.00141643059490085|Atual: 0.001388888888888889
(13) Aceitação: 1.019830028328612|U: 0.6527597194867012
(13) Aceito!
(14) Proposto: 0.0015105740181268882|Atual: 0.00141643059490085
(14) Aceitação: 1.066465256797583|U: 0.9891850998102512
(14) Aceito!
(15) Proposto: 0.001488095238095238|Atual: 0.0015105740181268882
(15) Aceitação: 0.9851190476190476|U: 0.6778069410439098
(15) Aceito!
(16) Proposto: 0.001567398119122257|Atual: 0.001488095238095238
(16) Aceitação: 1.0532915360501567|U: 0.6899773683787541
(16) Aceito!
(17) Proposto: 0.0015723270440251573|Atual: 0.001567398119122257
(17) Aceitação: 1.0031446540880504|U: 0.4204677167206703
(17) Aceito!
(18) Proposto: 0.0014619883040935672|Atual: 0.0015723270440251573
(18) Aceitação: 0.9298245614035087|U: 0.01537636665522335
(18) Aceito!
(19) Proposto: 0.0015479876160990713|Atual: 0.0014619883040935672
(19) Aceitação: 1.0588235294117647|U: 0.5818230165736351
(19) Aceito!
(20) Proposto: 0.001445086705202312|Atual: 0.0015479876160990713
(20) Aceitação: 0.9335260115606936|U: 0.35009442976598315
(20) Aceito!
(21) Proposto: 0.0015105740181268882|Atual: 0.001445086705202312
(21) Aceitação: 1.0453172205438066|U: 0.45856000705942523
(21) Aceito!
(22) Proposto: 0.0015060240963855422|Atual: 0.0015105740181268882
(22) Aceitação: 0.996987951807229|U: 0.9409267666786664
(22) Aceito!
(23) Proposto: 0.0015384615384615385|Atual: 0.0015060240963855422
(23) Aceitação: 1.0215384615384615|U: 0.7994034259246016
(23) Aceito!
(24) Proposto: 0.0015625|Atual: 0.0015384615384615385
