content
(0) Proposto: 0.0015151515151515152|Atual: 0.0014792899408284023
(0) Aceitação: 1.0242424242424242|U: 0.7666349616482444
(0) Aceito!
(1) Proposto: 0.0014245014245014246|Atual: 0.0015151515151515152
(1) Aceitação: 0.9401709401709403|U: 0.7514282820027856
(1) Aceito!
(2) Proposto: 0.001524390243902439|Atual: 0.0014245014245014246
(2) Aceitação: 1.0701219512195121|U: 0.6102522185690953
(2) Aceito!
(3) Proposto: 0.0015060240963855422|Atual: 0.001524390243902439
(3) Aceitação: 0.9879518072289157|U: 0.8683830773985659
(3) Aceito!
(4) Proposto: 0.0014705882352941176|Atual: 0.0015060240963855422
(4) Aceitação: 0.9764705882352941|U: 0.7254203270781152
(4) Aceito!
(5) Proposto: 0.0015015015015015015|Atual: 0.0014705882352941176
(5) Aceitação: 1.021021021021021|U: 0.6645895347108565
(5) Aceito!
(6) Proposto: 0.0014749262536873156|Atual: 0.0015015015015015015
(6) Aceitação: 0.9823008849557522|U: 0.7905978023896838
(6) Aceito!
(7) Proposto: 0.0014577259475218659|Atual: 0.0014749262536873156
(7) Aceitação: 0.9883381924198251|U: 0.6639570445667903
(7) Aceito!
(8) Proposto: 0.0015527950310559005|Atual: 0.0014577259475218659
(8) Aceitação: 1.0652173913043477|U: 0.674878244959703
(8) Aceito!
(9) Proposto: 0.0014492753623188406|Atual: 0.0015527950310559005
(9) Aceitação: 0.9333333333333335|U: 0.585071791579279
(9) Aceito!
(10) Proposto: 0.0015625|Atual: 0.0014492753623188406
(10) Aceitação: 1.078125|U: 0.7847759788675336
(10) Aceito!
(11) Proposto: 0.0015015015015015015|Atual: 0.0015625
(11) Aceitação: 0.960960960960961|U: 0.20885294657207032
(11) Aceito!
(12) Proposto: 0.0015015015015015015|Atual: 0.0015015015015015015
(12) Aceitação: 1.0|U: 0.6271335807169154
(12) Aceito!
(13) Proposto: 0.00141643059490085|Atual: 0.0015015015015015015
(13) Aceitação: 0.943342776203966|U: 0.026825594078732973
(13) Aceito!
(14) Proposto: 0.0015105740181268882|Atual: 0.00141643059490085
(14) Aceitação: 1.066465256797583|U: 0.8466278905952583
(14) Aceito!
(15) Proposto: 0.0015151515151515152|Atual: 0.0015105740181268882
(15) Aceitação: 1.003030303030303|U: 0.4122124685229518
(15) Aceito!
(16) Proposto: 0.0015384615384615385|Atual: 0.0015151515151515152
(16) Aceitação: 1.0153846153846153|U: 0.10577674772686518
(16) Aceito!
(17) Proposto: 0.0015479876160990713|Atual: 0.0015384615384615385
